Fund name,Symbol,Expense ratio,Risk potential
Vanguard Target Retirement Income Trust,,0.03%,
Vanguard Target Retirement 2020 Trust,,0.03%,
Vanguard Target Retirement 2025 Trust,,0.03%,
Vanguard Target Retirement 2030 Trust,,0.03%,
Vanguard Target Retirement 2035 Trust,,0.03%,
Vanguard Target Retirement 2040 Trust,,0.03%,
Vanguard Target Retirement 2045 Trust,,0.03%,
Vanguard Target Retirement 2050 Trust,,0.03%,
Vanguard Target Retirement 2055 Trust,,0.03%,
Vanguard Target Retirement 2060 Trust,,0.03%,
Vanguard Target Retirement 2065 Trust,,0.03%,
Vanguard Target Retirement Income and Growth Trust,,0.03%,
Vanguard Target Retirement 2070 Trust,,0.03%,
Vanguard Developed Markets Index Trust,,0.02%,
Vanguard Emerging Markets Stock Index Fund Institutional Plus Shares,,0.05%,
Vanguard Institutional Total Bond Market Index Trust,,0.01%,
Vanguard Institutional Extended Market Index Trust,,0.02%,
Vanguard Institutional 500 Index Trust,,0.01%,
Vanguard Real Estate Index Fund Institutional Shares,,0.11%,
Vanguard Total International Bond Index Fund Institutional Shares,,0.03%,
Vanguard Retirement Savings Trust II,,0.24%,
EARNEST Partners Smid Cap Core Fund Founders Class,,0.55%,
Fidelity® Diversified International Commingled Pool Class C,,0.52%,
Parnassus US Large Cap,,0.34%,
Prudential Core Plus Bond Fund 15,,0.20%,
PIMCO Income Fund Institutional Class,,0.54%,
Vanguard Wellesley Income Fund Admiral Shares,,0.15%,
